"Step","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"74","0.40712","0.40712","0.40712","0.43866","0.43866","0.43866","0.06515","0.06515","0.06515","0.10669","0.10669","0.10669","0.18646","0.18646","0.18646","0.49286","0.49286","0.49286","0.49429","0.49429","0.49429","0.52417","0.52417","0.52417","0.50205","0.50205","0.50205","0.49228","0.49228","0.49228"
"75","0.36503","0.36503","0.36503","0.43526","0.43526","0.43526","0.03121","0.03121","0.03121","0.20444","0.20444","0.20444","0.13299","0.13299","0.13299","0.47133","0.47133","0.47133","0.47384","0.47384","0.47384","0.46826","0.46826","0.46826","0.48591","0.48591","0.48591","0.51119","0.51119","0.51119"
"76","0.33065","0.33065","0.33065","0.42922","0.42922","0.42922","0.06347","0.06347","0.06347","0.23584","0.23584","0.23584","0.10465","0.10465","0.10465","0.43474","0.43474","0.43474","0.45121","0.45121","0.45121","0.48598","0.48598","0.48598","0.46702","0.46702","0.46702","0.54413","0.54413","0.54413"
"77","0.29833","0.29833","0.29833","0.4309","0.4309","0.4309","0.06658","0.06658","0.06658","0.20744","0.20744","0.20744","0.14245","0.14245","0.14245","0.46912","0.46912","0.46912","0.45721","0.45721","0.45721","0.47546","0.47546","0.47546","0.48288","0.48288","0.48288","0.53845","0.53845","0.53845"
"78","0.36293","0.36293","0.36293","0.44499","0.44499","0.44499","0.06121","0.06121","0.06121","0.2897","0.2897","0.2897","0.20947","0.20947","0.20947","0.49693","0.49693","0.49693","0.45238","0.45238","0.45238","0.47201","0.47201","0.47201","0.45321","0.45321","0.45321","0.50844","0.50844","0.50844"
"79","0.33743","0.33743","0.33743","0.38641","0.38641","0.38641","0.06381","0.06381","0.06381","0.30927","0.30927","0.30927","0.21056","0.21056","0.21056","0.47899","0.47899","0.47899","0.47648","0.47648","0.47648","0.47959","0.47959","0.47959","0.48334","0.48334","0.48334","0.52716","0.52716","0.52716"
"80","0.31074","0.31074","0.31074","0.44583","0.44583","0.44583","0.03305","0.03305","0.03305","0.23791","0.23791","0.23791","0.23019","0.23019","0.23019","0.49915","0.49915","0.49915","0.4696","0.4696","0.4696","0.48363","0.48363","0.48363","0.45143","0.45143","0.45143","0.50064","0.50064","0.50064"
"81","0.36284","0.36284","0.36284","0.43616","0.43616","0.43616","0.06425","0.06425","0.06425","0.26306","0.26306","0.26306","0.19261","0.19261","0.19261","0.49955","0.49955","0.49955","0.49321","0.49321","0.49321","0.49732","0.49732","0.49732","0.47952","0.47952","0.47952","0.54461","0.54461","0.54461"
"82","0.38199","0.38199","0.38199","0.41514","0.41514","0.41514","0.05374","0.05374","0.05374","0.26307","0.26307","0.26307","0.19752","0.19752","0.19752","0.46359","0.46359","0.46359","0.4836","0.4836","0.4836","0.47985","0.47985","0.47985","0.47524","0.47524","0.47524","0.53379","0.53379","0.53379"
"83","0.37424","0.37424","0.37424","0.45505","0.45505","0.45505","0.05517","0.05517","0.05517","0.27331","0.27331","0.27331","0.21029","0.21029","0.21029","0.50204","0.50204","0.50204","0.47925","0.47925","0.47925","0.48275","0.48275","0.48275","0.46381","0.46381","0.46381","0.53966","0.53966","0.53966"
"84","0.3517","0.3517","0.3517","0.43719","0.43719","0.43719","0.03169","0.03169","0.03169","0.29534","0.29534","0.29534","0.14266","0.14266","0.14266","0.50194","0.50194","0.50194","0.46199","0.46199","0.46199","0.47915","0.47915","0.47915","0.48205","0.48205","0.48205","0.54059","0.54059","0.54059"
"85","0.34791","0.34791","0.34791","0.43972","0.43972","0.43972","0.06414","0.06414","0.06414","0.3152","0.3152","0.3152","0.21271","0.21271","0.21271","0.48489","0.48489","0.48489","0.50659","0.50659","0.50659","0.47775","0.47775","0.47775","0.48978","0.48978","0.48978","0.53032","0.53032","0.53032"
"86","0.37287","0.37287","0.37287","0.46694","0.46694","0.46694","0.06345","0.06345","0.06345","0.27015","0.27015","0.27015","0.17889","0.17889","0.17889","0.48831","0.48831","0.48831","0.48318","0.48318","0.48318","0.48065","0.48065","0.48065","0.47911","0.47911","0.47911","0.53186","0.53186","0.53186"
"87","0.29029","0.29029","0.29029","0.4833","0.4833","0.4833","0.02884","0.02884","0.02884","0.29861","0.29861","0.29861","0.25073","0.25073","0.25073","0.48256","0.48256","0.48256","0.46964","0.46964","0.46964","0.48597","0.48597","0.48597","0.49902","0.49902","0.49902","0.51787","0.51787","0.51787"
"88","0.38043","0.38043","0.38043","0.41129","0.41129","0.41129","0.06038","0.06038","0.06038","0.33551","0.33551","0.33551","0.28477","0.28477","0.28477","0.47901","0.47901","0.47901","0.48871","0.48871","0.48871","0.47173","0.47173","0.47173","0.49145","0.49145","0.49145","0.52936","0.52936","0.52936"
"89","0.37546","0.37546","0.37546","0.48198","0.48198","0.48198","0.03098","0.03098","0.03098","0.32455","0.32455","0.32455","0.25121","0.25121","0.25121","0.48362","0.48362","0.48362","0.469","0.469","0.469","0.47294","0.47294","0.47294","0.51382","0.51382","0.51382","0.47779","0.47779","0.47779"
"90","0.3897","0.3897","0.3897","0.41765","0.41765","0.41765","0.06606","0.06606","0.06606","0.3048","0.3048","0.3048","0.30434","0.30434","0.30434","0.47631","0.47631","0.47631","0.46167","0.46167","0.46167","0.45666","0.45666","0.45666","0.49927","0.49927","0.49927","0.54933","0.54933","0.54933"
"91","0.3518","0.3518","0.3518","0.44536","0.44536","0.44536","0.05816","0.05816","0.05816","0.31211","0.31211","0.31211","0.25631","0.25631","0.25631","0.50114","0.50114","0.50114","0.48235","0.48235","0.48235","0.49349","0.49349","0.49349","0.46584","0.46584","0.46584","0.54048","0.54048","0.54048"
"92","0.36998","0.36998","0.36998","0.48056","0.48056","0.48056","0.09143","0.09143","0.09143","0.31246","0.31246","0.31246","0.29074","0.29074","0.29074","0.48943","0.48943","0.48943","0.49094","0.49094","0.49094","0.47075","0.47075","0.47075","0.50215","0.50215","0.50215","0.52903","0.52903","0.52903"
"93","0.39166","0.39166","0.39166","0.47947","0.47947","0.47947","0.03023","0.03023","0.03023","0.33451","0.33451","0.33451","0.3347","0.3347","0.3347","0.48424","0.48424","0.48424","0.49248","0.49248","0.49248","0.48038","0.48038","0.48038","0.50222","0.50222","0.50222","0.52891","0.52891","0.52891"
"94","0.38977","0.38977","0.38977","0.48215","0.48215","0.48215","0.03198","0.03198","0.03198","0.37442","0.37442","0.37442","0.24916","0.24916","0.24916","0.50586","0.50586","0.50586","0.49851","0.49851","0.49851","0.47284","0.47284","0.47284","0.50894","0.50894","0.50894","0.5166","0.5166","0.5166"
"95","0.38113","0.38113","0.38113","0.47515","0.47515","0.47515","0.06243","0.06243","0.06243","0.33789","0.33789","0.33789","0.33976","0.33976","0.33976","0.47857","0.47857","0.47857","0.50267","0.50267","0.50267","0.49366","0.49366","0.49366","0.47351","0.47351","0.47351","0.54461","0.54461","0.54461"
"96","0.40376","0.40376","0.40376","0.42947","0.42947","0.42947","0.05701","0.05701","0.05701","0.35564","0.35564","0.35564","0.31175","0.31175","0.31175","0.48833","0.48833","0.48833","0.47336","0.47336","0.47336","0.47216","0.47216","0.47216","0.47468","0.47468","0.47468","0.53009","0.53009","0.53009"
"97","0.42271","0.42271","0.42271","0.47572","0.47572","0.47572","0.10509","0.10509","0.10509","0.33541","0.33541","0.33541","0.26563","0.26563","0.26563","0.48236","0.48236","0.48236","0.46848","0.46848","0.46848","0.46798","0.46798","0.46798","0.47684","0.47684","0.47684","0.53407","0.53407","0.53407"
"98","0.36378","0.36378","0.36378","0.43848","0.43848","0.43848","0.04827","0.04827","0.04827","0.3489","0.3489","0.3489","0.32655","0.32655","0.32655","0.49571","0.49571","0.49571","0.49647","0.49647","0.49647","0.48081","0.48081","0.48081","0.5016","0.5016","0.5016","0.53331","0.53331","0.53331"
"99","0.40601","0.40601","0.40601","0.41351","0.41351","0.41351","0.06554","0.06554","0.06554","0.36678","0.36678","0.36678","0.33549","0.33549","0.33549","0.48288","0.48288","0.48288","0.5064","0.5064","0.5064","0.47619","0.47619","0.47619","0.48181","0.48181","0.48181","0.53264","0.53264","0.53264"
"100","0.41501","0.41501","0.41501","0.48419","0.48419","0.48419","0.08926","0.08926","0.08926","0.38473","0.38473","0.38473","0.31235","0.31235","0.31235","0.48841","0.48841","0.48841","0.49375","0.49375","0.49375","0.49745","0.49745","0.49745","0.50337","0.50337","0.50337","0.53","0.53","0.53"
"101","0.3706","0.3706","0.3706","0.48694","0.48694","0.48694","0.0477","0.0477","0.0477","0.37005","0.37005","0.37005","0.32127","0.32127","0.32127","0.48116","0.48116","0.48116","0.50379","0.50379","0.50379","0.47311","0.47311","0.47311","0.4761","0.4761","0.4761","0.51374","0.51374","0.51374"
"102","0.40101","0.40101","0.40101","0.48421","0.48421","0.48421","0.02743","0.02743","0.02743","0.33627","0.33627","0.33627","0.31592","0.31592","0.31592","0.52201","0.52201","0.52201","0.50117","0.50117","0.50117","0.48502","0.48502","0.48502","0.52169","0.52169","0.52169","0.53823","0.53823","0.53823"
"103","0.37447","0.37447","0.37447","0.47923","0.47923","0.47923","0.06553","0.06553","0.06553","0.36688","0.36688","0.36688","0.36565","0.36565","0.36565","0.49417","0.49417","0.49417","0.47744","0.47744","0.47744","0.48405","0.48405","0.48405","0.48175","0.48175","0.48175","0.54555","0.54555","0.54555"
"104","0.38821","0.38821","0.38821","0.4842","0.4842","0.4842","0.06285","0.06285","0.06285","0.36882","0.36882","0.36882","0.31634","0.31634","0.31634","0.48873","0.48873","0.48873","0.48593","0.48593","0.48593","0.48383","0.48383","0.48383","0.49275","0.49275","0.49275","0.54453","0.54453","0.54453"
"105","0.40286","0.40286","0.40286","0.45817","0.45817","0.45817","0.09829","0.09829","0.09829","0.38667","0.38667","0.38667","0.36182","0.36182","0.36182","0.4845","0.4845","0.4845","0.48999","0.48999","0.48999","0.49046","0.49046","0.49046","0.48546","0.48546","0.48546","0.54024","0.54024","0.54024"
"106","0.35917","0.35917","0.35917","0.4894","0.4894","0.4894","0.06679","0.06679","0.06679","0.3934","0.3934","0.3934","0.37991","0.37991","0.37991","0.50151","0.50151","0.50151","0.50512","0.50512","0.50512","0.49572","0.49572","0.49572","0.48659","0.48659","0.48659","0.53994","0.53994","0.53994"
"107","0.40816","0.40816","0.40816","0.49751","0.49751","0.49751","0.09429","0.09429","0.09429","0.36614","0.36614","0.36614","0.38788","0.38788","0.38788","0.49942","0.49942","0.49942","0.49348","0.49348","0.49348","0.49349","0.49349","0.49349","0.50401","0.50401","0.50401","0.52364","0.52364","0.52364"
"108","0.39342","0.39342","0.39342","0.48698","0.48698","0.48698","0.03142","0.03142","0.03142","0.3772","0.3772","0.3772","0.39005","0.39005","0.39005","0.4882","0.4882","0.4882","0.5022","0.5022","0.5022","0.48768","0.48768","0.48768","0.48014","0.48014","0.48014","0.52818","0.52818","0.52818"
"109","0.39181","0.39181","0.39181","0.4525","0.4525","0.4525","0.07399","0.07399","0.07399","0.35901","0.35901","0.35901","0.3767","0.3767","0.3767","0.49214","0.49214","0.49214","0.48682","0.48682","0.48682","0.46737","0.46737","0.46737","0.47057","0.47057","0.47057","0.51302","0.51302","0.51302"
"110","0.42772","0.42772","0.42772","0.4893","0.4893","0.4893","0.09893","0.09893","0.09893","0.39213","0.39213","0.39213","0.36075","0.36075","0.36075","0.50836","0.50836","0.50836","0.48942","0.48942","0.48942","0.504","0.504","0.504","0.48958","0.48958","0.48958","0.53345","0.53345","0.53345"
"111","0.34071","0.34071","0.34071","0.48792","0.48792","0.48792","0.06649","0.06649","0.06649","0.39141","0.39141","0.39141","0.35358","0.35358","0.35358","0.49266","0.49266","0.49266","0.48072","0.48072","0.48072","0.44923","0.44923","0.44923","0.50404","0.50404","0.50404","0.53796","0.53796","0.53796"
"112","0.43113","0.43113","0.43113","0.47591","0.47591","0.47591","0.06471","0.06471","0.06471","0.39705","0.39705","0.39705","0.34821","0.34821","0.34821","0.48357","0.48357","0.48357","0.49193","0.49193","0.49193","0.47457","0.47457","0.47457","0.4672","0.4672","0.4672","0.53544","0.53544","0.53544"
"113","0.385","0.385","0.385","0.49805","0.49805","0.49805","0.09392","0.09392","0.09392","0.38125","0.38125","0.38125","0.35156","0.35156","0.35156","0.50054","0.50054","0.50054","0.50941","0.50941","0.50941","0.47679","0.47679","0.47679","0.49763","0.49763","0.49763","0.53676","0.53676","0.53676"
"114","0.36465","0.36465","0.36465","0.48347","0.48347","0.48347","0.09868","0.09868","0.09868","0.4035","0.4035","0.4035","0.37267","0.37267","0.37267","0.49557","0.49557","0.49557","0.49197","0.49197","0.49197","0.46854","0.46854","0.46854","0.49265","0.49265","0.49265","0.54798","0.54798","0.54798"
"115","0.37046","0.37046","0.37046","0.48807","0.48807","0.48807","0.08047","0.08047","0.08047","0.39443","0.39443","0.39443","0.34371","0.34371","0.34371","0.47617","0.47617","0.47617","0.49384","0.49384","0.49384","0.46846","0.46846","0.46846","0.48973","0.48973","0.48973","0.54262","0.54262","0.54262"
"116","0.3767","0.3767","0.3767","0.48869","0.48869","0.48869","0.09018","0.09018","0.09018","0.39368","0.39368","0.39368","0.33367","0.33367","0.33367","0.49834","0.49834","0.49834","0.49936","0.49936","0.49936","0.47274","0.47274","0.47274","0.49586","0.49586","0.49586","0.53523","0.53523","0.53523"
"117","0.40662","0.40662","0.40662","0.49303","0.49303","0.49303","0.03302","0.03302","0.03302","0.39494","0.39494","0.39494","0.36142","0.36142","0.36142","0.50056","0.50056","0.50056","0.49617","0.49617","0.49617","0.49023","0.49023","0.49023","0.50078","0.50078","0.50078","0.54038","0.54038","0.54038"
"118","0.39558","0.39558","0.39558","0.48543","0.48543","0.48543","0.03005","0.03005","0.03005","0.40304","0.40304","0.40304","0.36962","0.36962","0.36962","0.48289","0.48289","0.48289","0.48715","0.48715","0.48715","0.47978","0.47978","0.47978","0.49435","0.49435","0.49435","0.53539","0.53539","0.53539"
"119","0.39563","0.39563","0.39563","0.47454","0.47454","0.47454","0.05066","0.05066","0.05066","0.39769","0.39769","0.39769","0.36608","0.36608","0.36608","0.49017","0.49017","0.49017","0.48845","0.48845","0.48845","0.47789","0.47789","0.47789","0.49333","0.49333","0.49333","0.55469","0.55469","0.55469"
"120","0.41771","0.41771","0.41771","0.48679","0.48679","0.48679","0.03237","0.03237","0.03237","0.35834","0.35834","0.35834","0.33251","0.33251","0.33251","0.48076","0.48076","0.48076","0.48021","0.48021","0.48021","0.47878","0.47878","0.47878","0.49251","0.49251","0.49251","0.53962","0.53962","0.53962"
"121","0.4068","0.4068","0.4068","0.4834","0.4834","0.4834","0.06751","0.06751","0.06751","0.3817","0.3817","0.3817","0.3652","0.3652","0.3652","0.4804","0.4804","0.4804","0.47512","0.47512","0.47512","0.48216","0.48216","0.48216","0.49775","0.49775","0.49775","0.54278","0.54278","0.54278"
"122","0.41571","0.41571","0.41571","0.4842","0.4842","0.4842","0.06309","0.06309","0.06309","0.407","0.407","0.407","0.38181","0.38181","0.38181","0.478","0.478","0.478","0.49557","0.49557","0.49557","0.47957","0.47957","0.47957","0.50438","0.50438","0.50438","0.51879","0.51879","0.51879"
"123","0.40582","0.40582","0.40582","0.49207","0.49207","0.49207","0.09699","0.09699","0.09699","0.38697","0.38697","0.38697","0.3659","0.3659","0.3659","0.49231","0.49231","0.49231","0.49084","0.49084","0.49084","0.49184","0.49184","0.49184","0.47505","0.47505","0.47505","0.52923","0.52923","0.52923"
"124","0.42217","0.42217","0.42217","0.49458","0.49458","0.49458","0.09728","0.09728","0.09728","0.39288","0.39288","0.39288","0.37173","0.37173","0.37173","0.49512","0.49512","0.49512","0.48027","0.48027","0.48027","0.49238","0.49238","0.49238","0.50456","0.50456","0.50456","0.53502","0.53502","0.53502"
"125","0.41274","0.41274","0.41274","0.49354","0.49354","0.49354","0.1243","0.1243","0.1243","0.4309","0.4309","0.4309","0.35774","0.35774","0.35774","0.49294","0.49294","0.49294","0.50574","0.50574","0.50574","0.504","0.504","0.504","0.50015","0.50015","0.50015","0.54489","0.54489","0.54489"
"126","0.4124","0.4124","0.4124","0.49194","0.49194","0.49194","0.12978","0.12978","0.12978","0.40606","0.40606","0.40606","0.39562","0.39562","0.39562","0.50028","0.50028","0.50028","0.5009","0.5009","0.5009","0.49359","0.49359","0.49359","0.4925","0.4925","0.4925","0.53405","0.53405","0.53405"
"127","0.39028","0.39028","0.39028","0.50058","0.50058","0.50058","0.09814","0.09814","0.09814","0.3895","0.3895","0.3895","0.37631","0.37631","0.37631","0.50366","0.50366","0.50366","0.49061","0.49061","0.49061","0.4893","0.4893","0.4893","0.51202","0.51202","0.51202","0.54317","0.54317","0.54317"
"128","0.40723","0.40723","0.40723","0.48648","0.48648","0.48648","0.09833","0.09833","0.09833","0.39355","0.39355","0.39355","0.39396","0.39396","0.39396","0.48529","0.48529","0.48529","0.49596","0.49596","0.49596","0.4939","0.4939","0.4939","0.50501","0.50501","0.50501","0.53353","0.53353","0.53353"
"129","0.39688","0.39688","0.39688","0.47259","0.47259","0.47259","0.05563","0.05563","0.05563","0.39656","0.39656","0.39656","0.36183","0.36183","0.36183","0.48941","0.48941","0.48941","0.49994","0.49994","0.49994","0.49538","0.49538","0.49538","0.50765","0.50765","0.50765","0.54833","0.54833","0.54833"
"130","0.42467","0.42467","0.42467","0.47789","0.47789","0.47789","0.07978","0.07978","0.07978","0.38676","0.38676","0.38676","0.35951","0.35951","0.35951","0.49463","0.49463","0.49463","0.49293","0.49293","0.49293","0.48335","0.48335","0.48335","0.51177","0.51177","0.51177","0.55421","0.55421","0.55421"
"131","0.41004","0.41004","0.41004","0.48019","0.48019","0.48019","0.06498","0.06498","0.06498","0.38249","0.38249","0.38249","0.37352","0.37352","0.37352","0.48704","0.48704","0.48704","0.48881","0.48881","0.48881","0.48332","0.48332","0.48332","0.50383","0.50383","0.50383","0.54752","0.54752","0.54752"
"132","0.38561","0.38561","0.38561","0.49117","0.49117","0.49117","0.11283","0.11283","0.11283","0.38527","0.38527","0.38527","0.37654","0.37654","0.37654","0.48084","0.48084","0.48084","0.4911","0.4911","0.4911","0.49651","0.49651","0.49651","0.50631","0.50631","0.50631","0.53711","0.53711","0.53711"
"133","0.43827","0.43827","0.43827","0.48271","0.48271","0.48271","0.09659","0.09659","0.09659","0.42117","0.42117","0.42117","0.3765","0.3765","0.3765","0.49511","0.49511","0.49511","0.51274","0.51274","0.51274","0.49763","0.49763","0.49763","0.51448","0.51448","0.51448","0.53431","0.53431","0.53431"
"134","0.40307","0.40307","0.40307","0.47848","0.47848","0.47848","0.09197","0.09197","0.09197","0.39354","0.39354","0.39354","0.38052","0.38052","0.38052","0.51268","0.51268","0.51268","0.4885","0.4885","0.4885","0.48136","0.48136","0.48136","0.52235","0.52235","0.52235","0.54251","0.54251","0.54251"
"135","0.42658","0.42658","0.42658","0.48991","0.48991","0.48991","0.05678","0.05678","0.05678","0.38738","0.38738","0.38738","0.38573","0.38573","0.38573","0.50106","0.50106","0.50106","0.48587","0.48587","0.48587","0.48398","0.48398","0.48398","0.50235","0.50235","0.50235","0.54244","0.54244","0.54244"
"136","0.41189","0.41189","0.41189","0.50968","0.50968","0.50968","0.06515","0.06515","0.06515","0.39207","0.39207","0.39207","0.39331","0.39331","0.39331","0.51029","0.51029","0.51029","0.50011","0.50011","0.50011","0.50717","0.50717","0.50717","0.51619","0.51619","0.51619","0.54433","0.54433","0.54433"
"137","0.42078","0.42078","0.42078","0.50564","0.50564","0.50564","0.11501","0.11501","0.11501","0.43099","0.43099","0.43099","0.38956","0.38956","0.38956","0.51147","0.51147","0.51147","0.50736","0.50736","0.50736","0.51141","0.51141","0.51141","0.50351","0.50351","0.50351","0.5387","0.5387","0.5387"
"138","0.42689","0.42689","0.42689","0.53049","0.53049","0.53049","0.09925","0.09925","0.09925","0.39158","0.39158","0.39158","0.3713","0.3713","0.3713","0.47675","0.47675","0.47675","0.51494","0.51494","0.51494","0.48581","0.48581","0.48581","0.52114","0.52114","0.52114","0.53582","0.53582","0.53582"
"139","0.41252","0.41252","0.41252","0.53259","0.53259","0.53259","0.06442","0.06442","0.06442","0.44057","0.44057","0.44057","0.36757","0.36757","0.36757","0.48887","0.48887","0.48887","0.51322","0.51322","0.51322","0.49742","0.49742","0.49742","0.5092","0.5092","0.5092","0.54","0.54","0.54"
"140","0.42518","0.42518","0.42518","0.49384","0.49384","0.49384","0.11604","0.11604","0.11604","0.4218","0.4218","0.4218","0.38302","0.38302","0.38302","0.48494","0.48494","0.48494","0.50687","0.50687","0.50687","0.49154","0.49154","0.49154","0.50608","0.50608","0.50608","0.54726","0.54726","0.54726"
"141","0.42811","0.42811","0.42811","0.48343","0.48343","0.48343","0.12383","0.12383","0.12383","0.3896","0.3896","0.3896","0.37583","0.37583","0.37583","0.50609","0.50609","0.50609","0.49492","0.49492","0.49492","0.47769","0.47769","0.47769","0.50473","0.50473","0.50473","0.54471","0.54471","0.54471"
"142","0.44095","0.44095","0.44095","0.48875","0.48875","0.48875","0.12797","0.12797","0.12797","0.43706","0.43706","0.43706","0.3942","0.3942","0.3942","0.49411","0.49411","0.49411","0.49681","0.49681","0.49681","0.50478","0.50478","0.50478","0.5087","0.5087","0.5087","0.54898","0.54898","0.54898"
"143","0.43827","0.43827","0.43827","0.47742","0.47742","0.47742","0.0942","0.0942","0.0942","0.4276","0.4276","0.4276","0.38816","0.38816","0.38816","0.48873","0.48873","0.48873","0.50666","0.50666","0.50666","0.50023","0.50023","0.50023","0.49602","0.49602","0.49602","0.52608","0.52608","0.52608"
"144","0.40647","0.40647","0.40647","0.49091","0.49091","0.49091","0.09501","0.09501","0.09501","0.4687","0.4687","0.4687","0.39152","0.39152","0.39152","0.48408","0.48408","0.48408","0.49723","0.49723","0.49723","0.49901","0.49901","0.49901","0.51018","0.51018","0.51018","0.54469","0.54469","0.54469"
