"Name","model_params","best_val_accuracy","_wandb"
"LR[K=75]-ResNet101-CIFAR10","10193009","86.9",""
"MLconv[R=100]-ResNet101-CIFAR10","10298934","86.28",""
"LR[K=150]-ResNet101-CIFAR10","20260184","87.59",""
"MLconv[R=200]-ResNet101-CIFAR10","20472034","86.21",""
"LR-MTL[T=42,lambda_ce=0.70]-ResNet101-CIFAR10","29248888","87.16",""
"LR[K=229]-ResNet101-CIFAR10","30864275","86.28",""
"MLconv[R=300]-ResNet101-CIFAR10","30645134","86.76",""
"MTL[T=43]-ResNet101-CIFAR10","29938048","87.45",""
"MTL[T=42]-ResNet101-CIFAR10","30462328","87.3",""
"LR-MTL[T=15,lambda_ce=0.70]-ResNet101-CIFAR10","33810592","87.04",""
"MLconv[R=345]-ResNet101-CIFAR10","35223029","86.31",""
"LR[K=260]-ResNet101-CIFAR10","35025374","87.22",""
"LR-MTL[T=3,lambda_ce=0.70]-ResNet101-CIFAR10","39731282","87.62",""
"MTL[T=4]-ResNet101-CIFAR10","38326356","87.32",""
"MTL[T=3]-ResNet101-CIFAR10","40423506","87.33",""
"ResNet101-CIFAR10","42520650","86.07",""
"MTL[T=16]-ResNet101-CIFAR10","34656424","87.35",""
"MTL[T=15]-ResNet101-CIFAR10","35180704","86.66",""
"MLconv[R=400]-ResNet101-CIFAR10","40818234","85.87",""
"LR[K=300]-ResNet101-CIFAR10","40394534","86.76",""